method,fillPerc,confidence,leaves,treeSize,performanceValidation,performanceTraining
moda,35.00,0.2250,709,1417,57.6677,87.1306
moda,35.00,0.2500,733,1465,57.6677,87.5691
moda,35.00,0.2750,749,1497,57.7476,87.8742
moda,35.00,0.3000,757,1513,57.8275,88.0267
moda,35.00,0.3250,765,1529,57.9073,88.1602
moda,35.00,0.3500,770,1539,57.8275,88.2364
moda,35.00,0.3750,772,1543,57.5879,88.2745
moda,35.00,0.4000,773,1545,57.5879,88.2936
moda,35.00,0.4250,792,1583,57.3482,88.5987
moda,35.00,0.4500,793,1585,57.3482,88.6177
moda,35.00,0.4750,799,1597,57.2684,88.7131
moda,35.00,0.5000,800,1599,57.5879,88.7512
moda,37.50,0.0010,5,9,51.5176,52.7359
moda,37.50,0.0250,268,535,56.0703,70.9247
moda,37.50,0.0500,324,647,56.7093,73.0029
moda,37.50,0.0750,547,1093,56.23,82.1163
moda,37.50,0.1000,583,1165,56.1502,83.1268
moda,37.50,0.1250,604,1207,56.4696,83.7178
moda,37.50,0.1500,642,1283,56.4696,84.7855
moda,37.50,0.1750,673,1345,56.23,85.6053
moda,37.50,0.2000,696,1391,55.9105,86.1773
moda,37.50,0.2250,725,1449,56.23,86.7684
moda,37.50,0.2500,740,1479,55.9105,87.0162
moda,37.50,0.2750,763,1525,56.3099,87.4929
moda,37.50,0.3000,765,1529,56.3099,87.531
moda,37.50,0.3250,771,1541,56.23,87.6263
moda,37.50,0.3500,781,1561,56.1502,87.7788
moda,37.50,0.3750,786,1571,56.23,87.8932
moda,37.50,0.4000,794,1587,56.3099,88.0076
moda,37.50,0.4250,794,1587,56.3099,88.0076
moda,37.50,0.4500,802,1603,56.3898,88.103
moda,37.50,0.4750,803,1605,56.3099,88.103
moda,37.50,0.5000,805,1609,55.9904,88.1602
moda,40.00,0.0010,31,61,51.5176,56.5491
moda,40.00,0.0250,289,577,56.7093,72.5834
moda,40.00,0.0500,474,947,55.2716,80.0191
moda,40.00,0.0750,509,1017,55.1917,81.2202
moda,40.00,0.1000,550,1099,55.5911,82.5167
moda,40.00,0.1250,626,1251,55.5911,84.6711
moda,40.00,0.1500,669,1337,56.4696,85.8341
moda,40.00,0.1750,677,1353,56.3898,86.0248
moda,40.00,0.2000,722,1443,56.0703,87.0353
moda,40.00,0.2250,748,1495,55.5112,87.5882
moda,40.00,0.2500,765,1529,55.5112,87.9123
moda,40.00,0.2750,771,1541,55.5911,88.0076
moda,40.00,0.3000,778,1555,55.6709,88.1411
moda,40.00,0.3250,781,1561,55.7508,88.1983
moda,40.00,0.3500,782,1563,55.7508,88.2173
moda,40.00,0.3750,783,1565,55.9105,88.2364
moda,40.00,0.4000,786,1571,55.9904,88.2745
moda,40.00,0.4250,791,1581,55.9904,88.3508
moda,40.00,0.4500,794,1587,56.1502,88.4271
moda,40.00,0.4750,802,1603,55.9904,88.5415
moda,40.00,0.5000,802,1603,55.9904,88.5415
moda,42.50,0.0010,40,79,53.2748,56.7969
moda,42.50,0.0250,224,447,55.1118,68.7703
moda,42.50,0.0500,442,883,56.3099,78.837
moda,42.50,0.0750,517,1033,56.7093,81.3727
moda,42.50,0.1000,578,1155,56.7093,83.184
moda,42.50,0.1250,616,1231,56.7891,84.3661
moda,42.50,0.1500,658,1315,56.9489,85.4337
moda,42.50,0.1750,709,1417,57.1086,86.673
moda,42.50,0.2000,736,1471,57.1885,87.3594
moda,42.50,0.2250,755,1509,57.3482,87.7407
moda,42.50,0.2500,767,1533,57.5879,87.9504
moda,42.50,0.2750,773,1545,57.4281,87.9886
moda,42.50,0.3000,777,1553,57.508,88.122
moda,42.50,0.3250,788,1575,57.4281,88.2936
moda,42.50,0.3500,797,1593,57.3482,88.4271
moda,42.50,0.3750,799,1597,57.508,88.4461
moda,42.50,0.4000,800,1599,57.508,88.4652
moda,42.50,0.4250,803,1605,57.3482,88.5033
moda,42.50,0.4500,803,1605,57.3482,88.5033
moda,42.50,0.4750,807,1613,57.3482,88.5605
moda,42.50,0.5000,809,1617,57.508,88.5987
moda,45.00,0.0010,6,11,51.5176,52.7359
moda,45.00,0.0250,273,545,55.1118,71.2297
moda,45.00,0.0500,372,743,55.0319,75.7483
moda,45.00,0.0750,465,929,54.1534,79.3518
moda,45.00,0.1000,560,1119,53.115,82.6883
moda,45.00,0.1250,576,1151,53.1949,83.1649
moda,45.00,0.1500,622,1243,53.3546,84.3661
moda,45.00,0.1750,654,1307,53.3546,85.1478
moda,45.00,0.2000,687,1373,53.4345,85.8532
moda,45.00,0.2250,704,1407,53.5144,86.2154
moda,45.00,0.2500,720,1439,53.2748,86.5014
moda,45.00,0.2750,723,1445,53.2748,86.5586
moda,45.00,0.3000,732,1463,53.2748,86.7112
moda,45.00,0.3250,735,1469,53.4345,86.8065
moda,45.00,0.3500,744,1487,53.5144,86.959
moda,45.00,0.3750,744,1487,53.5144,86.959
moda,45.00,0.4000,749,1497,53.5144,87.0353
moda,45.00,0.4250,751,1501,53.4345,87.0543
moda,45.00,0.4500,753,1505,53.5144,87.0734
moda,45.00,0.4750,756,1511,53.5942,87.1115
moda,45.00,0.5000,767,1533,53.754,87.2641
